Level 1 - Domain,Level 2 - Capability Group,Level 3 - Specific Competency
Aerospace & Space,Aerospace Engineering,Aerospace Systems Engineering
Aerospace & Space,Aerospace Engineering,Airworthiness Support
Aerospace & Space,Aerospace Engineering,Avionics Systems Integration
Aerospace & Space,Aerospace Engineering,Flight Test Support
Aerospace & Space,Aerospace Engineering,"Maintenance, Repair & Overhaul (MRO)"
Aerospace & Space,Aerospace Engineering,Propulsion Systems Support
Aerospace & Space,Aerospace Engineering,Structures Engineering Support
Aerospace & Space,Aerospace Engineering,Thermal Analysis Support
Aerospace & Space,Space Systems,Ground Segment Engineering
Aerospace & Space,Space Systems,Mission Operations Support
Aerospace & Space,Space Systems,Satellite Systems Engineering
Aerospace & Space,Space Systems,Spacecraft Integration Support
Aerospace & Space,Space Systems,"Telemetry, Tracking & Control (TT&C) Support"
Aerospace & Space,Standards & Compliance,AS9100 Quality Management
Aerospace & Space,Standards & Compliance,NADCAP Special Processes Support
Aerospace & Space,Standards & Compliance,Part 21 Compliance Support
Agriculture & Food Systems,Agriculture Operations,Agri-supply Logistics
Agriculture & Food Systems,Agriculture Operations,Crop Advisory Services
Agriculture & Food Systems,Agriculture Operations,Irrigation System Design
Agriculture & Food Systems,Agriculture Operations,Livestock Health Management Support
Agriculture & Food Systems,Agriculture Operations,Precision Agriculture Support
Agriculture & Food Systems,Food Manufacturing,BRCGS Food Safety Compliance
Agriculture & Food Systems,Food Manufacturing,Cold Storage Operations
Agriculture & Food Systems,Food Manufacturing,Food Processing Operations
Agriculture & Food Systems,Food Manufacturing,Food Safety Management (HACCP)
Agriculture & Food Systems,Food Manufacturing,Packaging for Food Products
Agriculture & Food Systems,Food Production Operations,Bakery Production Operations
Agriculture & Food Systems,Food Production Operations,Beverage Brewing Operations
Agriculture & Food Systems,Food Production Operations,Canning Operations
Agriculture & Food Systems,Food Production Operations,Dairy Processing Operations
Agriculture & Food Systems,Food Production Operations,Meat Processing Operations
Agriculture & Food Systems,Food Production Operations,Ready Meal Production Operations
Agriculture & Food Systems,Food Safety & Quality Operations,Allergen Management
Agriculture & Food Systems,Food Safety & Quality Operations,Cold Chain Temperature Monitoring
Agriculture & Food Systems,Food Safety & Quality Operations,Food Traceability Operations
Agriculture & Food Systems,Food Safety & Quality Operations,Foreign Body Control Operations
Agriculture & Food Systems,Food Safety & Quality Operations,Hygiene & Sanitation Operations
Agriculture & Food Systems,Food Safety & Quality Operations,Shelf-life Testing Support
Agriculture & Forestry,Field Crops,Cereals
